Prompt ,Answer
Bee is to honey as Silk is to ,worm
Trunk is to tree as Shaft is to,umbrella
Lactose is to milk as Gluten is to,bread
Cold is to scarf as Hot is to ,tank top
Pig is to bacon as Cow is to ,beef
Pages are to book as Words are to,sentences
Roof is to house Lid is to ,tupperware
Swan is to pond as Shark is to ,ocean
Baby is to animal as Fruit is to ,trees
Coke is to Pepsi as Chocolate is to ,vanilla
Smell is to touch as Red Power Ranger is to ,Yellow Power Ranger
Walk is to run as Trot is to,gallop
Peter is to Wendy as Romeo is to ,Juliet
Broccoli is to carrot as Banana is to,mango
Earth is to planet as Sun is to ,star
Keyboard is to writing as Paintbrush is to ,painting
Tea is to kettle as Coffe is to ,pot
Stage is to play as Theatre is to,movie
Bullet is to gun as Arrow is to ,bow
Caterpillar is to frog as Butterfly is to ,tadpole
Octopus is to spider as Eel is to ,snake
Foot is to leg as Hand is to ,arm
Weddings are to white as Funerals are to ,black
Remote is to tv as Controller is to ,Xbox
Underwear is to pants as Socks is to ,shoes
Road is to bike as River is to,canoe
